snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/0111853N,RI,15.0,3.0,0.0,8.0,20.0,20.0,885.0,440.0,0.0,472.0
2026-03-19 13:43:43+01:00,59/0111853N,RM,16.0,8.0,1.0,9.0,50.0,50.0,944.0,1130.0,132.0,531.0
2026-03-19 13:43:43+01:00,59/0111853N,SC,5.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,SD,3.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,SM,5.0,1.0,0.0,4.0,20.0,20.0,295.0,132.0,0.0,236.0
2026-03-19 13:43:43+01:00,59/0111853N,TV,8.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,VR,16.0,4.0,1.0,10.0,25.0,25.0,944.0,572.0,132.0,590.0
2026-03-19 13:43:43+01:00,59/0111853N,WEB,0.0,9.0,4.0,1.0,32.0,32.0,11800.0,8979.0,1717.0,7552.0
2026-03-19 13:43:43+01:00,59/0111853T,AR,14.0,8.0,3.0,7.0,57.0,57.0,826.0,1130.0,396.0,413.0
2026-03-19 13:43:43+01:00,59/0111853T,AU,3.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853T,BO,9.0,1.0,0.0,3.0,11.0,11.0,531.0,147.0,0.0,177.0
2026-03-19 13:43:43+01:00,59/0111853T,BS,7.0,7.0,1.0,4.0,100.0,100.0,413.0,1012.0,132.0,236.0
2026-03-19 13:43:43+01:00,59/0111853T,CA,3.0,2.0,1.0,3.0,67.0,67.0,177.0,278.0,131.0,177.0
2026-03-19 13:43:43+01:00,59/0111853T,EU,13.0,8.0,4.0,6.0,62.0,62.0,767.0,1086.0,528.0,354.0
2026-03-19 13:43:43+01:00,59/0111853T,LN,10.0,3.0,0.0,5.0,30.0,30.0,590.0,440.0,0.0,295.0
2026-03-19 13:43:43+01:00,59/0111853T,MC,3.0,1.0,1.0,1.0,33.0,33.0,177.0,132.0,132.0,59.0
2026-03-19 13:43:43+01:00,59/0111853T,ME2,3.0,0.0,0.0,2.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853T,MI,5.0,2.0,1.0,3.0,40.0,40.0,295.0,279.0,132.0,177.0
2026-03-19 13:43:43+01:00,59/0111853T,MR,0.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853T,NV,20.0,8.0,0.0,6.0,40.0,40.0,1180.0,1174.0,0.0,354.0
2026-03-19 13:43:43+01:00,59/0111853T,OR,8.0,4.0,1.0,4.0,50.0,50.0,472.0,558.0,132.0,236.0
2026-03-19 13:43:43+01:00,59/0111853T,PD,9.0,1.0,0.0,4.0,11.0,11.0,531.0,147.0,0.0,236.0
