Article,Size,Qty,From,To,Reason,DispatchPolicy,DispatchWeekday,DispatchDate,EtaDate,ConsolidationStatus,RouteCluster,PlanningNote
59/1642PTM,38,1.0,EU,BS,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,39,1.0,EU,BS,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,40,1.0,EU,BS,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,37,1.0,ME2,TV,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/1642PTM,37,1.0,NV,OR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/1642PTM,38,1.0,NV,OR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/1642PTM,37,1.0,OR,RI,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/1642PTM,38,1.0,OR,RI,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/1642PTM,37,1.0,PM,CA,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/1642PTM,37,1.0,RI,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/1642PTM,38,1.0,RI,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/1642PTM,38,1.0,RM,CA,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,40,1.0,RM,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,38,1.0,RM,ME2,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,39,1.0,RM,OR,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,39,1.0,RM,RI,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,38,1.0,RM,TV,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,38,1.0,VR,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,39,1.0,VR,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/1642PTM,40,1.0,VR,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/197PNE,36,1.0,AR,BO,Top-up to target,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/197PNE,35,1.0,AR,CO,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,36,1.0,AR,CO,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,AR,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,37,1.0,AR,SD,Fallback to outlet (unfillable run),SD_QTY_TRIGGER,Thursday,2026-03-19,2026-03-20,PLANNED,,SD rilasciato per soglia quantità pronta.
59/197PNE,39,1.0,AR,TV,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,38,1.0,BO,BS,Top-up to target,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,39,1.0,BO,BS,Top-up to target,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,36,1.0,BO,OR,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,37,1.0,BO,OR,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,38,1.0,BO,OR,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,39,1.0,BO,OR,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,BO,OR,Top-up to target,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,BO,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/197PNE,36,1.0,BS,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,BS,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/197PNE,36,1.0,BS,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,39,1.0,CA,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/197PNE,40,1.0,CO,AR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,39,1.0,CO,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/197PNE,35,1.0,CO,BS,Top-up to target,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,36,1.0,CO,BS,Fill required run,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,36,1.0,CO,BS,Top-up to target,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,CO,BS,Fill required run,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,40,1.0,CO,BS,Top-up to target,ROUTE_WEEKLY,Tuesday,2026-03-24,2026-03-25,PLANNED,TUE,Pianificato su giro settimanale negozi.
59/197PNE,39,1.0,CO,PD,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/197PNE,37,1.0,CO,SD,Fallback to outlet (unfillable run),SD_QTY_TRIGGER,Thursday,2026-03-19,2026-03-20,PLANNED,,SD rilasciato per soglia quantità pronta.
59/197PNE,39,1.0,LN,ME2,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/197PNE,37,1.0,LN,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/197PNE,38,1.0,LN,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/197PNE,39,1.0,LN,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/197PNE,35,1.0,LN,SD,Fallback to outlet (unfillable run),SD_QTY_TRIGGER,Thursday,2026-03-19,2026-03-20,PLANNED,,SD rilasciato per soglia quantità pronta.
59/197PNE,36,1.0,LN,SD,Fallback to outlet (unfillable run),SD_QTY_TRIGGER,Thursday,2026-03-19,2026-03-20,PLANNED,,SD rilasciato per soglia quantità pronta.
59/197PNE,40,1.0,LN,SD,Fallback to outlet (unfillable run),SD_QTY_TRIGGER,Thursday,2026-03-19,2026-03-20,PLANNED,,SD rilasciato per soglia quantità pronta.
59/197PNE,38,1.0,MC,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/197PNE,37,1.0,MC,RM,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/197PNE,37,1.0,ME2,PD,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
