Article,Shop,Fascia,IsOutlet,Role,DemandRaw,DemandRule,DemandAI,DemandBlendWeight,DemandHybrid,DemandModelMode,DemandModelQualityR2,Periodo_Qty,Stock_after,ShopCapacityPairs,ShopCapacityTarget,ShopFreeCapacityAfter,ShopCapacitySource,CapacityBlockedMoves,OpsBlockedMoves,ShopInboundBudget,ShopOutboundBudget,ShopInboundUsed,ShopOutboundUsed,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42
59/004RFCTM,NV,3.0,False,STORE,0.75,1.32,3.1001642409988435,0.28015300953640493,1.818718369584916,ridge_oof_blend,0.6225622434142332,0.0,1.0,4680.0,3978.0,2325.0,lista_negozi_linked,0,39757,700.0,347.82,419.0,347.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/004RFCTM,OR,3.0,False,STORE,1.25,1.5367000000000004,2.8874986352218945,0.28015300953640493,1.9151303029350828,ridge_oof_blend,0.6225622434142332,1.0,5.0,6400.0,5440.0,3512.0,lista_negozi_linked,0,39757,700.0,453.42,320.0,453.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
59/004RFCTM,PD,5.0,False,STORE,1.25,1.4420000000000002,1.8963002248032814,0.28015300953640493,1.5692735752117049,ridge_oof_blend,0.6225622434142332,1.0,3.0,5000.0,4250.0,3166.0,lista_negozi_linked,0,39757,700.0,252.34,189.0,252.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
59/004RFCTM,PM,4.0,False,STORE,0.0,0.48654,1.2968643699248745,0.28015300953640493,0.7135548109351447,ridge_oof_blend,0.6225622434142332,0.0,1.0,6162.0,5237.7,3758.7,lista_negozi_linked,0,39757,700.0,382.58,122.0,382.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59/004RFCTM,RI,3.0,False,STORE,0.75,1.32,3.136836957878084,0.28015300953640493,1.828992341586512,ridge_oof_blend,0.6225622434142332,0.0,1.0,6695.0,5690.75,3806.75,lista_negozi_linked,0,39757,700.0,473.0,207.0,473.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFCTM,RM,1.0,False,STORE,0.5,0.9564,3.4168896977494088,0.28015300953640493,1.6457135937578162,ridge_oof_blend,0.6225622434142332,0.0,1.0,6080.0,5168.0,1542.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFCTM,TV,5.0,False,STORE,0.5,0.8240000000000001,2.2530832861046868,0.28015300953640493,1.2243619834804034,ridge_oof_blend,0.6225622434142332,0.0,1.0,5000.0,4250.0,3454.0,lista_negozi_linked,0,39757,700.0,179.74,158.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59/004RFCTM,VR,3.0,False,STORE,0.5,0.8767000000000001,3.395699755606473,0.28015300953640493,1.582405362554622,ridge_oof_blend,0.6225622434142332,0.0,5.0,5700.0,4845.0,2838.0,lista_negozi_linked,0,39757,700.0,477.18,315.0,477.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
59/004RFCTM,WEB,,False,ONLINE,2.0,1.7585,3.0870153268358624,0.28015300953640493,2.130687567028308,ridge_oof_blend,0.6225622434142332,2.0,0.0,,,,none,0,39757,81.84,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59/004RFPTM,AR,1.0,False,STORE,0.0,0.5508,1.7178075601570164,0.28015300953640493,0.8777406801297252,ridge_oof_blend,0.6225622434142332,0.0,1.0,6080.0,5168.0,2387.0,lista_negozi_linked,0,39757,700.0,586.74,700.0,586.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
