Article,Shop,Periodo_Qty,Venduto_Qty,StockNow,SelloutUsed,DemandRule,DemandAI,DemandBlendWeight,DemandHybrid,ScarcityBoost,ServiceFactor,DemandModelMode,DemandModelQualityR2
59/10003CCA,RI,3.0,7.0,5.0,54.0,5.0633,2.023337762276961,0.280153009536405,4.211645430224866,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10003CCA,RM,3.0,4.0,9.0,31.0,4.085399999999999,2.3403012637351965,0.280153009536405,3.5965053370972373,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10003CCA,TV,0.0,0.0,4.0,51.0,0.393975,1.079979452722207,0.280153009536405,0.5861612119855008,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/10003CCA,VR,1.0,2.0,8.0,15.0,1.5317500000000002,1.8295772658445415,0.280153009536405,1.6151872048483473,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10003CCA,WEB,0.0,0.0,2.0,39.0,0.058499999999999996,2.584636069427046,0.280153009536405,0.7662046223484518,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CCA,AR,0.0,0.0,11.0,51.0,1.1933999999999998,3.3848963165870467,0.280153009536405,1.807354288479807,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CCA,AU,1.0,1.0,5.0,17.0,1.0030000000000001,0.3454481524472236,0.280153009536405,1.0,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CCA,BO,0.0,4.0,7.0,31.0,1.845175,1.8079071329970136,0.280153009536405,1.834734294900111,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/10005CCA,BS,0.0,2.0,8.0,17.0,0.9269,1.1613289809333986,0.280153009536405,1.0,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/10005CCA,CA,0.0,0.0,8.0,51.0,0.551565,1.722433059884283,0.280153009536405,0.8795872107466335,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/10005CCA,CO,1.0,2.0,10.0,15.0,1.601375,1.509001038921122,0.280153009536405,1.5754961568009536,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/10005CCA,EU,1.0,1.0,12.0,8.0,1.2072,2.5075045908268487,0.280153009536405,1.5714842444341452,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CCA,LN,2.0,3.0,10.0,25.0,2.544,1.3995065696983398,0.280153009536405,2.223366721106346,1.0,1.06,ridge_oof_blend,0.6225622434142333
59/10005CCA,M4,0.0,0.0,0.0,51.0,0.0765,0.0,0.280153009536405,0.055068294770465015,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CCA,MC,0.0,0.0,1.0,51.0,0.0765,0.2715751683422626,0.280153009536405,0.1311508954969057,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CCA,ME2,0.0,0.0,6.0,51.0,0.47276999999999997,1.2607749951314524,0.280153009536405,0.6935319709157965,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/10005CCA,MI,0.0,0.0,6.0,51.0,0.45899999999999996,0.9386999641417075,0.280153009536405,0.5933893886288049,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CCA,NV,1.0,2.0,8.0,17.0,1.5466000000000002,1.2612868156860446,0.280153009536405,1.4666686527540307,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CCA,OR,2.0,5.0,8.0,42.0,3.5266000000000006,1.6867871588422862,0.280153009536405,3.011170895565943,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CCA,PD,4.0,5.0,6.0,83.0,4.943348745714286,3.237059169764903,0.280153009536405,4.46532658587147,1.091509600701777,1.03,ridge_oof_blend,0.6225622434142333
59/10005CCA,PM,0.0,1.0,10.0,8.0,0.41764,0.7788631424551982,0.280153009536405,1.0,1.0,1.06,ridge_oof_blend,0.6225622434142333
59/10005CCA,RI,1.0,2.0,10.0,17.0,1.5466000000000002,1.149462842165406,0.280153009536405,1.4353408300339043,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CCA,RM,0.0,0.0,13.0,51.0,1.1933999999999998,3.3550661889372924,0.280153009536405,1.7989972884438732,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CCA,SD,0.0,0.0,7.0,51.0,0.44981999999999994,1.1432327739125383,0.280153009536405,0.6440816754625843,1.0,0.98,ridge_oof_blend,0.6225622434142333
59/10005CCA,TV,1.0,1.0,5.0,17.0,1.03309,0.5088171089367775,0.280153009536405,1.0,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/10005CCA,VR,1.0,2.0,11.0,17.0,1.5466000000000002,1.6502639515549653,0.280153009536405,1.57564176800856,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CTM,AR,0.0,2.0,10.0,15.0,0.951,3.239062615639127,0.280153009536405,1.59200762777904,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CTM,BO,3.0,5.0,9.0,38.0,4.359649999999999,3.775391740978428,0.280153009536405,4.195968290388606,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/10005CTM,BS,0.0,1.0,9.0,8.0,0.4669,2.499625669159335,0.280153009536405,1.0363742137768903,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/10005CTM,CA,0.0,2.0,7.0,40.0,0.8240000000000001,2.519942982445171,0.280153009536405,1.299123530534161,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/10005CTM,EU,1.0,2.0,11.0,15.0,1.671,4.759023238084782,0.280153009536405,2.536119003667806,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CTM,LN,0.0,1.0,10.0,8.0,0.4303600000000001,2.9069984829687368,0.280153009536405,1.1241977245373682,1.0,1.06,ridge_oof_blend,0.6225622434142333
59/10005CTM,M4,0.0,0.0,0.0,51.0,0.0765,0.3691908668654287,0.280153009536405,0.15849822721616907,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/10005CTM,MI,4.0,4.0,3.0,80.0,4.865714285714286,3.5410431717361837,0.280153009536405,4.494603686487379,1.2164285714285714,1.0,ridge_oof_blend,0.6225622434142333
59/10005CTM,NV,1.0,1.0,5.0,20.0,1.1,2.0902491876774785,0.280153009536405,1.3774212901188259,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CTM,OR,2.0,4.0,7.0,31.0,3.08495,2.7305368658317373,0.280153009536405,2.985660093843532,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CTM,RI,1.0,4.0,7.0,31.0,2.4249500000000004,2.576082194924689,0.280153009536405,2.4672901392459945,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CTM,RM,2.0,4.0,9.0,31.0,3.3653999999999997,4.40626895743772,0.280153009536405,3.657002570959197,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/10005CTM,VR,4.0,6.0,7.0,46.0,5.2767,4.8209174482603565,0.280153009536405,5.1490111464359565,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/10005CTM,WEB,1.0,3.0,0.0,29.0,1.3935000000000002,2.644997069203959,0.280153009536405,1.7441106703634797,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CBE,AR,2.0,2.0,9.0,15.0,2.391,1.709748748090032,0.280153009536405,2.2001454115269787,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CBE,AU,0.0,0.0,2.0,51.0,0.0765,0.49452295557421067,0.280153009536405,0.19361038905941805,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CBE,BO,1.0,7.0,8.0,54.0,3.9134499999999997,2.334735817077296,0.280153009536405,3.471168470456398,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/2005CBE,BS,0.0,0.0,10.0,51.0,1.23165,2.7764922834391728,0.280153009536405,1.6644422149645761,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/2005CBE,CA,0.0,0.0,1.0,51.0,0.078795,0.4786692027330218,0.280153009536405,0.1908209613316266,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/2005CBE,CO,2.0,3.0,6.0,43.0,2.7617249999999998,1.3820458725669207,0.280153009536405,2.3752037402550616,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/2005CBE,EU,2.0,4.0,7.0,31.0,3.3653999999999997,2.9643215255141566,0.280153009536405,3.2530366583125203,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CBE,M4,0.0,0.0,0.0,51.0,0.0765,0.0,0.280153009536405,0.055068294770465015,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CBE,MC,0.0,0.0,3.0,51.0,0.0765,0.6267856627910895,0.280153009536405,0.23066418453565904,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CBE,MI,0.0,0.0,2.0,51.0,0.0765,0.4592589253938803,0.280153009536405,0.18373106487601587,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CBE,NV,1.0,1.0,8.0,8.0,1.1066,1.5369816892456,0.280153009536405,1.2271727254915166,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CBE,OR,5.0,6.0,8.0,46.0,5.936700000000001,2.4475150319494112,0.280153009536405,4.959194330371443,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CBE,PD,0.0,1.0,6.0,14.0,0.40891000000000005,1.1191714216052269,0.280153009536405,1.0,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/2005CBE,RI,1.0,2.0,11.0,15.0,1.5317500000000002,1.8653245773709588,0.280153009536405,1.6252019217553086,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CBE,RM,0.0,0.0,13.0,51.0,1.1933999999999998,3.718302162696051,0.280153009536405,1.9007589396642763,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CBE,VR,0.0,2.0,9.0,15.0,0.87175,2.1313966050218953,0.280153009536405,1.224643787349199,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CBE,WEB,0.0,2.0,0.0,23.0,0.5345,1.347853684671228,0.280153009536405,1.0,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,AR,3.0,3.0,8.0,23.0,3.5982,3.1095975778547995,0.280153009536405,3.461316560969245,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CCU,AU,1.0,2.0,8.0,17.0,1.4060000000000001,1.1094602710779196,0.280153009536405,1.3229235024953694,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,BO,4.0,10.0,7.0,77.0,8.32297665,6.165546431279557,0.280153009536405,7.718566081360683,1.1305742404124033,1.15,ridge_oof_blend,0.6225622434142333
59/2005CCU,BS,1.0,2.0,11.0,15.0,1.601375,2.5914285752371025,0.280153009536405,1.8787414887049518,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/2005CCU,CA,0.0,2.0,12.0,15.0,0.816275,1.9190180364836782,0.280153009536405,1.125211780416216,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/2005CCU,CO,1.0,2.0,11.0,15.0,1.601375,2.8507345004715092,0.280153009536405,1.951386824049993,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/2005CCU,EU,1.0,7.0,7.0,54.0,4.0836,4.93580945597248,0.280153009536405,4.3223490438460725,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CCU,LN,1.0,1.0,10.0,8.0,1.0536400000000001,2.1217155804744037,0.280153009536405,1.3528645882822472,1.0,1.06,ridge_oof_blend,0.6225622434142333
59/2005CCU,M4,0.0,0.0,0.0,51.0,0.0765,0.3114189432999609,0.280153009536405,0.14231324896259612,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,MC,0.0,1.0,3.0,20.0,0.4,0.7821349108698565,0.280153009536405,1.0,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,ME2,1.0,2.0,3.0,17.0,1.4481800000000002,0.8399336217990883,0.280153009536405,1.2777779466073964,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/2005CCU,MI,1.0,6.0,9.0,46.0,2.997,1.9568590739258642,0.280153009536405,2.7056013892183475,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,MR,0.0,0.0,1.0,51.0,0.0765,0.1453205288126714,0.0,0.0765,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/2005CCU,NV,0.0,4.0,8.0,33.0,1.7534000000000003,2.7989203902217072,0.280153009536405,2.046305683852288,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CCU,OR,1.0,5.0,8.0,38.0,2.8501000000000003,3.6774723342681366,0.280153009536405,3.081890849452379,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CCU,PD,0.0,0.0,9.0,51.0,0.9455399999999999,2.610332653739626,0.280153009536405,1.4119366721992543,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/2005CCU,PM,1.0,8.0,9.0,67.0,4.03436,3.0141128863668003,0.280153009536405,3.7485347006448286,1.0,1.06,ridge_oof_blend,0.6225622434142333
59/2005CCU,RI,2.0,7.0,7.0,58.0,4.393400000000001,3.2555767482675835,0.280153009536405,4.074635391706665,1.0,1.1,ridge_oof_blend,0.6225622434142333
59/2005CCU,RM,1.0,1.0,12.0,8.0,1.2072,3.5187473904335365,0.280153009536405,1.8547869581159786,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/2005CCU,SC,0.0,0.0,9.0,51.0,0.9179999999999999,1.845186489206296,0.280153009536405,1.1777540853526371,1.0,1.0,ridge_oof_blend,0.6225622434142333
