snapshot_at,Article,Description,Shop,Ricevuto,Giacenza,Consegnato,Venduto,Sellout_Percent,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42,Valore_Giac
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,NV,0.0,4.0,6.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,OR,0.0,7.0,7.0,6.0,7.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,PD,0.0,5.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,PM,0.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,RI,0.0,4.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,RM,0.0,6.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,TV,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,VR,0.0,3.0,8.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,WEB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,AR,0.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,AU,0.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,BO,0.0,5.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,BS,0.0,4.0,6.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,CA,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,CO,0.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,EU,0.0,4.0,6.0,7.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,LN,0.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,MC,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,ME2,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,MI,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,NV,0.0,4.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,OR,0.0,5.0,6.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,PD,0.0,5.0,5.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,PM,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,RI,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,RM,0.0,6.0,7.0,6.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,SC,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,TV,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098PNE,T10 MASCH BOCCALEONE CUCI NORV,VR,0.0,4.0,6.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
