Article,Size,From,To,Reason,Qty
59/0553PGR,36,BS,AU,Fallback to outlet (unfillable run),1
59/0553PGR,37,BS,AU,Fallback to outlet (unfillable run),1
59/0553PGR,38,BS,AU,Fallback to outlet (unfillable run),1
59/0553PGR,39,BS,TV,Fill required run,1
59/0553PGR,37,LN,TV,Fill required run,1
59/0553PGR,38,LN,TV,Fill required run,1
59/0553PGR,37,OR,BS,Fill required run,1
59/0553PGR,38,OR,BS,Fill required run,1
59/0553PGR,39,OR,EU,Fill required run,1
59/0553PGR,37,RM,AU,Fallback to outlet (unfillable run),1
59/0553PGR,38,RM,AU,Fallback to outlet (unfillable run),1
59/0553PGR,39,RM,AU,Fallback to outlet (unfillable run),2
59/0553PGR,41,RM,AU,Fallback to outlet (unfillable run),1
59/0553PGR,40,RM,BS,Fill required run,1
59/0553PGR,39,VR,BS,Fill required run,1
59/0553PGR,36,VR,EU,Top-up to target,1
59/0553PGR,40,VR,EU,Fill required run,1
59/0553PGR,37,VR,LN,Fill required run,1
59/0553PGR,38,VR,LN,Fill required run,1
59/0553PNE,37,AU,AR,Top-up to target,1
59/0553PNE,39,AU,AR,Top-up to target,1
59/0553PNE,36,AU,EU,Top-up to target,1
59/0553PNE,37,AU,RM,Top-up to target,1
59/0553PNE,39,AU,RM,Top-up to target,1
59/0553PNE,40,AU,RM,Top-up to target,1
59/0553PNE,35,EU,RM,Top-up to target,1
59/0553PNE,38,M4,AR,Top-up to target,1
59/0553PNE,38,M4,EU,Top-up to target,1
59/0553PNE,38,M4,RM,Top-up to target,1
59/0553PNE,38,M4,WEB,Top-up to target,1
59/0553PNE,40,MC,AR,Top-up to target,1
59/0553PNE,36,MC,RM,Top-up to target,1
59/0553PNE,41,OR,RM,Top-up to target,1
59/0553PNE,35,RM,AR,Top-up to target,1
59/0553PNE,41,RM,AR,Top-up to target,1
59/0553PNE,35,RM,EU,Top-up to target,1
59/0553PNE,37,SD,EU,Top-up to target,1
59/0553PNE,39,SD,EU,Top-up to target,1
59/0553PNE,40,SD,EU,Top-up to target,1
59/0553PNE,36,SM,AR,Top-up to target,1
59/0553PNE,38,TV,MC,Fallback to outlet (unfillable run),2
59/0553PNE,39,TV,MC,Fallback to outlet (unfillable run),1
59/0553PNE,40,TV,MC,Fallback to outlet (unfillable run),1
59/0553PNE,41,VR,EU,Top-up to target,1
59/0553PTM,35,AR,RM,Top-up to target,1
59/0553PTM,41,AR,RM,Top-up to target,1
59/0553PTM,37,AU,BO,Top-up to target,1
59/0553PTM,40,AU,RM,Top-up to target,1
59/0553PTM,35,BO,VR,Top-up to target,1
59/0553PTM,36,BO,VR,Top-up to target,1
59/0553PTM,37,BO,VR,Top-up to target,1
59/0553PTM,38,BO,VR,Top-up to target,1
59/0553PTM,39,BO,VR,Top-up to target,1
59/0553PTM,40,BO,VR,Top-up to target,1
59/0553PTM,37,BS,AU,Fallback to outlet (unfillable run),2
59/0553PTM,38,BS,AU,Fallback to outlet (unfillable run),2
59/0553PTM,35,BS,BO,Top-up to target,1
59/0553PTM,36,BS,BO,Fill required run,1
59/0553PTM,36,BS,BO,Top-up to target,1
59/0553PTM,39,BS,BO,Top-up to target,1
59/0553PTM,41,BS,VR,Top-up to target,1
59/0553PTM,35,CA,TV,Top-up to target,1
59/0553PTM,36,CA,TV,Top-up to target,1
59/0553PTM,37,CA,TV,Fill required run,1
59/0553PTM,37,CA,TV,Top-up to target,1
59/0553PTM,38,CA,TV,Top-up to target,1
59/0553PTM,39,CA,TV,Top-up to target,1
59/0553PTM,40,CA,TV,Top-up to target,1
59/0553PTM,35,CO,BS,Top-up to target,1
59/0553PTM,36,CO,BS,Top-up to target,1
59/0553PTM,41,CO,BS,Top-up to target,1
59/0553PTM,35,EU,AR,Top-up to target,1
59/0553PTM,41,EU,OR,Top-up to target,1
59/0553PTM,35,LN,CA,Top-up to target,1
59/0553PTM,36,LN,CA,Top-up to target,1
59/0553PTM,37,LN,CA,Top-up to target,1
59/0553PTM,38,LN,CA,Fill required run,1
59/0553PTM,38,LN,CA,Top-up to target,1
59/0553PTM,39,LN,CA,Top-up to target,1
59/0553PTM,36,LN,EU,Top-up to target,1
59/0553PTM,39,LN,RM,Top-up to target,1
59/0553PTM,40,M4,EU,Top-up to target,1
59/0553PTM,37,MC,AR,Top-up to target,1
59/0553PTM,38,MC,AR,Top-up to target,1
59/0553PTM,40,MC,AR,Top-up to target,1
59/0553PTM,39,MC,EU,Top-up to target,1
59/0553PTM,37,MI,CO,Top-up to target,1
59/0553PTM,41,MI,EU,Top-up to target,1
59/0553PTM,38,MI,RM,Top-up to target,1
59/0553PTM,39,NV,BS,Top-up to target,1
59/0553PTM,40,NV,BS,Top-up to target,1
59/0553PTM,35,NV,LN,Top-up to target,1
59/0553PTM,36,NV,LN,Top-up to target,1
59/0553PTM,37,NV,LN,Top-up to target,1
59/0553PTM,38,NV,LN,Top-up to target,1
59/0553PTM,39,NV,LN,Fill required run,1
59/0553PTM,39,NV,LN,Top-up to target,1
59/0553PTM,39,OR,BO,Fill required run,1
59/0553PTM,40,OR,BO,Top-up to target,1
59/0553PTM,40,OR,CA,Top-up to target,1
59/0553PTM,41,OR,CA,Top-up to target,1
59/0553PTM,35,OR,NV,Top-up to target,1
59/0553PTM,36,OR,NV,Top-up to target,1
59/0553PTM,37,OR,NV,Top-up to target,1
59/0553PTM,38,OR,NV,Top-up to target,1
59/0553PTM,39,OR,NV,Fill required run,1
59/0553PTM,39,OR,NV,Top-up to target,1
59/0553PTM,39,PD,AR,Top-up to target,1
59/0553PTM,37,PD,ME2,Fill required run,1
59/0553PTM,38,PD,ME2,Fill required run,1
59/0553PTM,39,PD,ME2,Fill required run,1
59/0553PTM,36,PM,AR,Top-up to target,1
59/0553PTM,38,PM,CO,Top-up to target,1
59/0553PTM,39,PM,CO,Fill required run,1
59/0553PTM,38,RI,BO,Top-up to target,1
59/0553PTM,38,RI,BS,Top-up to target,1
59/0553PTM,36,RI,CO,Top-up to target,1
59/0553PTM,39,RI,CO,Top-up to target,1
59/0553PTM,40,RI,CO,Top-up to target,1
59/0553PTM,36,RI,RM,Top-up to target,1
59/0553PTM,41,RM,AR,Top-up to target,1
59/0553PTM,35,RM,CO,Top-up to target,1
59/0553PTM,41,RM,CO,Top-up to target,1
59/0553PTM,35,RM,EU,Top-up to target,1
59/0553PTM,37,SC,RM,Top-up to target,1
59/0553PTM,37,SD,EU,Top-up to target,1
59/0553PTM,38,SD,EU,Top-up to target,1
59/0553PTM,37,SM,BS,Top-up to target,1
59/0553PTM,35,TV,PD,Top-up to target,1
59/0553PTM,36,TV,PD,Top-up to target,1
59/0553PTM,37,TV,PD,Top-up to target,1
