Article,Size,Qty,From,To,Reason
59/0111853T,38,1,CA,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,CO,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,EU,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,LN,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,NV,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,NV,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,NV,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,PD,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,PM,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,PM,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,RI,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,RI,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,RM,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,TV,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,TV,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,TV,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,TV,SM,Fallback to outlet (unfillable run)
59/0137PNE,37,1,PM,AR,Top-up to target
59/0137PNE,39,1,PM,AR,Top-up to target
59/014053PN,36,1,PD,EU,Top-up to target
59/014053PN,37,1,SD,EU,Top-up to target
59/014053PN,38,1,SD,EU,Top-up to target
59/014053PN,36,1,CA,RM,Fill required run
59/014053PN,36,1,PM,RM,Top-up to target
59/014053PN,36,1,NV,CO,Fill required run
59/014053PN,37,1,AU,CO,Fill required run
59/014053PN,39,1,MI,CO,Fill required run
59/014053PN,40,1,ME2,CO,Fill required run
59/014053PN,37,1,BS,MI,Fallback to outlet (unfillable run)
59/014053PN,38,1,BS,MI,Fallback to outlet (unfillable run)
59/014053PN,38,1,BS,MI,Fallback to outlet (unfillable run)
59/014053PN,39,1,BS,MI,Fallback to outlet (unfillable run)
59/014053PN,40,1,TV,MI,Fallback to outlet (unfillable run)
59/014053PN,38,1,TV,MI,Fallback to outlet (unfillable run)
59/017CTM,36,1,TV,EU,Fill required run
59/017CTM,37,1,TV,EU,Fill required run
59/017CTM,36,1,LN,EU,Top-up to target
59/017CTM,37,1,LN,EU,Top-up to target
59/017CTM,38,1,CA,EU,Top-up to target
59/017CTM,39,1,TV,EU,Top-up to target
59/017CTM,40,1,PM,EU,Top-up to target
59/017CTM,37,1,PM,AR,Fill required run
59/017CTM,38,1,LN,AR,Fill required run
59/017CTM,36,1,RI,AR,Top-up to target
59/017CTM,37,1,RI,AR,Top-up to target
59/017CTM,38,1,PM,AR,Top-up to target
59/017CTM,39,1,PM,AR,Top-up to target
59/017CTM,40,1,NV,AR,Top-up to target
59/017CTM,36,1,OR,BO,Top-up to target
59/017CTM,37,1,OR,BO,Top-up to target
59/017CTM,38,1,OR,BO,Top-up to target
59/017CTM,37,1,NV,CO,Fill required run
59/017CTM,40,1,BS,CO,Fill required run
59/017CTM,37,1,CO,VR,Fill required run
59/017CTM,38,1,NV,VR,Fill required run
59/017CTM,39,1,BS,VR,Fill required run
59/017CTM,37,1,VR,NV,Fill required run
59/017CTM,37,1,BO,NV,Top-up to target
59/017CTM,38,1,VR,NV,Top-up to target
59/017CTM,39,1,CO,NV,Top-up to target
59/017CTM,37,1,NV,ME2,Fill required run
59/017CTM,38,1,NV,ME2,Fill required run
59/017CTM,39,1,NV,ME2,Fill required run
59/017CTM,37,1,ME2,PD,Fill required run
59/017CTM,39,1,ME2,PD,Fill required run
59/017CTM,37,1,PD,TV,Fill required run
59/017CTM,38,1,PD,TV,Fill required run
59/017CTM,39,1,NV,TV,Fill required run
59/017CTM,37,1,BO,TV,Top-up to target
59/017CTM,36,1,BO,SM,Fallback to outlet (unfillable run)
59/017CTM,36,1,BO,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,BO,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,BO,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,BO,SM,Fallback to outlet (unfillable run)
59/017CTM,36,1,CO,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,CO,SM,Fallback to outlet (unfillable run)
59/017CTM,37,1,RM,SM,Fallback to outlet (unfillable run)
59/017CTM,37,1,RM,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,RM,SM,Fallback to outlet (unfillable run)
59/017CTM,38,1,RM,SM,Fallback to outlet (unfillable run)
59/017PNE,36,1,PM,EU,Fill required run
59/017PNE,37,1,SC,EU,Top-up to target
59/017PNE,38,1,SC,EU,Top-up to target
59/017PNE,39,1,SC,EU,Top-up to target
59/017PNE,40,1,PM,EU,Top-up to target
59/017PNE,41,1,BS,EU,Top-up to target
59/017PNE,36,1,EU,AR,Fill required run
59/017PNE,37,1,TV,AR,Top-up to target
59/017PNE,38,1,TV,AR,Top-up to target
59/017PNE,39,1,CA,AR,Top-up to target
59/017PNE,40,1,OR,AR,Top-up to target
59/017PNE,41,1,EU,AR,Top-up to target
59/017PNE,36,1,AR,RM,Fill required run
59/017PNE,40,1,RI,RM,Fill required run
59/017PNE,37,1,PM,RM,Top-up to target
59/017PNE,38,1,PM,RM,Top-up to target
59/017PNE,39,1,LN,RM,Top-up to target
59/017PNE,40,1,BS,RM,Top-up to target
59/017PNE,41,1,EU,RM,Top-up to target
59/017PNE,40,1,EU,BO,Fill required run
59/017PNE,36,1,RM,BO,Top-up to target
59/017PNE,37,1,VR,BO,Top-up to target
59/017PNE,38,1,OR,BO,Top-up to target
59/017PNE,39,1,RI,BO,Top-up to target
59/017PNE,40,1,EU,BO,Top-up to target
59/017PNE,41,1,AR,BO,Top-up to target
59/017PNE,36,1,BO,BS,Fill required run
59/017PNE,39,1,BO,BS,Fill required run
59/017PNE,40,1,BO,BS,Fill required run
